y	age	boat_length	cooler
30	49	23.8	42.65
24	80	29.33	31.95
12	56	27.52	39.55
33	70	35.57	27.43
10	52	18.41	39.53
30	44	25.22	25.59
32	40	52.14	37.89
21	55	44.44	30.37
31	63	22.15	47.04
18	63	26.44	29.79
28	57	46.53	56.98
14	37	35.66	36.09
11	44	35.83	33.18
32	50	25.74	55.27
23	54	38.05	28.67
24	38	29.26	28.21
11	45	31.1	50.64
30	54	37.63	36.56
13	51	49.74	36.88
20	48	28.75	27.72
18	63	28.69	42.23
16	44	21.94	35.22
11	56	60.04	45.28
18	78	37.51	36.13
11	45	36.78	48.14
12	50	28.55	45.68
23	50	30.55	29.91
25	57	33.84	36.48
17	42	22.99	31.84
15	53	23.56	29.97
7	45	35.51	35.08
10	55	18.55	53.97
18	41	21.04	33.02
11	58	44.68	38.21
36	65	27.77	32.38
15	48	34.61	28.99
19	58	28.04	32.9
36	55	31.99	54.85
14	44	19.18	40.11
11	62	35.01	43.35
16	49	24.05	28.58
19	51	30.65	35.24
26	58	30.47	34.58
32	71	33.28	31.01
11	44	52.75	39.57
20	42	34.19	37.54
16	61	24.38	25.8
19	53	27.35	32.32
27	66	23.32	31.78
16	42	113.42	47.46
26	44	66.5	35.16
34	49	31.65	62.77
27	49	41.48	41.82
34	49	35.12	31.16
15	60	16.64	33.2
18	55	20.64	33.68
33	54	46.3	47.22
13	54	49.85	31.76
27	54	56.08	30.8
26	55	42.53	32.59
26	47	31.84	31.07
29	46	33.8	32.65
27	49	24.21	36.85
11	49	38.42	41.36
11	55	41.2	36.68
14	55	24.32	30.91
26	50	29.34	38.01
15	63	20.84	43.02
13	52	25.64	34.64
18	51	31.62	39.28
24	51	35.85	31.16
19	63	25.68	29.59
29	55	42.71	37.24
14	41	23.98	33.55
22	50	23.65	36.54
16	52	27.22	31.74
23	36	18.82	28.41
35	53	23.78	52.53
42	53	44.57	46.78
18	64	35.94	28.41
16	57	28.86	24.6
21	46	31.56	28.58
23	45	38.36	33.45
27	60	16.39	29.42
13	53	27.24	33.1
21	53	57.97	30.07
17	67	25.34	32.96
14	49	38.53	39.52
28	63	25.22	43.53
21	35	87.29	28.29
17	47	38.27	30.13
3	77	43.75	44.9
23	46	49.81	37.77
12	41	47.43	42.36
25	59	35.37	41.75
19	48	24.17	34.89
41	47	32.65	33.15
13	51	35.47	37.01
14	44	24.13	33.66
40	65	59.95	59.9
14	51	29.58	28.28
35	55	39.01	39.75
29	69	48.59	27.6
17	48	35.66	32.92
33	62	33.53	41.88
23	50	15.82	40.47
19	57	21.01	44.95
34	54	25.03	37.93
17	49	37.33	40.33
22	53	41.57	31.28
14	45	63.21	59.94
40	37	21.56	45.33
13	38	23.6	45.69
28	54	23.38	32.28
15	53	24.59	32.09
28	41	29.75	31.85
26	61	33.59	30.89
23	56	67.17	40.18
27	70	30.8	29.51
20	53	19.39	33.14
15	43	79.66	36.92
29	51	27.29	41.36
11	40	53.82	50.82
33	52	23.56	34.95
28	50	36.14	41.06
21	49	36.62	40.5
24	79	39.63	37.79
13	49	39.86	35.77
9	59	42.58	48.16
29	51	62.08	34.49
13	54	40.57	32.37
14	43	26.94	26.68
26	55	48.55	30.85
16	42	22.51	35.21
19	38	41.02	32.97
20	46	20.01	26.51
14	49	39.31	52.68
23	49	28.22	34.24
14	45	29.22	35.65
22	50	30.52	29.14
42	48	32.94	44.27
25	57	25.63	33.53
32	54	27.53	31.36
32	54	44.78	37.86
51	53	29.75	81.33
13	46	51.15	32.02
26	55	52.57	46.15
27	62	57.89	38.44
21	47	24.68	31.67
25	40	16.93	29.09
20	60	29.98	39.56
18	48	39.52	38.75
10	38	40.36	29.25
37	53	31.15	35.65
23	57	25.46	34.52
9	50	21.48	41.98
34	52	70.46	35.65
18	50	32.55	40.02
25	52	35.93	38.88
12	56	27.92	36.6
23	61	71.47	28.72
17	42	45.39	44.79
15	53	23.92	46.35
8	50	40.32	29.49
26	42	41.3	28.7
32	47	32.93	45.31
32	54	33.25	42.09
28	52	55.62	35.41
40	45	25.94	32.96
17	43	37.79	40.13
12	50	33.69	27.63
39	43	40.44	32.45
27	60	55.39	35.89
11	59	29.88	44.04
17	60	36.74	29.04
16	39	24.88	35.17
14	57	18.34	46.06
20	60	29.82	33.57
14	61	42.04	38.46
9	58	35.29	39.05
8	63	31	54.87
22	41	22.61	32.29
9	49	26.01	39.37
13	44	41.34	41.04
10	50	35.31	32.96
25	55	33.77	25.06
19	56	68.52	28.11
14	51	56.32	40.07
29	56	27.68	36.45
10	47	26.99	36.99
8	54	19.49	38.36
35	58	33.75	28.32
29	52	20.1	34.6
29	48	33.33	28.88
34	50	35.02	40.48
38	62	35.78	32.58
32	56	22.41	39.27
9	51	23.42	36.99
28	48	25.05	45.82
40	61	28.76	49.02
5	43	21.19	36.84
11	61	22.63	42.64
24	73	86.53	36.72
31	52	29.28	25.57
8	52	43.26	33.07
27	50	16.08	30.2
28	51	51.1	41.68
15	62	23.3	33.09
14	66	34.92	38.06
49	51	36.1	65.56
18	51	96.08	21.99
12	57	57.36	42.41
17	60	30.98	41.33
31	56	32.93	26.74
8	44	31.52	27.79
13	56	27.62	46.48
30	45	23.38	29.88
26	68	100.99	35.47
10	56	54.8	26.88
23	49	30.22	30.05
19	57	25.72	25.33
20	56	23.08	32.76
42	63	33.77	53.84
16	46	26.38	26.31
13	58	48.68	36.25
39	57	38.05	43.19
14	39	30.94	42.71
34	61	53.53	47.74
12	37	46.8	37.79
22	64	37.79	39.72
7	44	30.1	29.21
16	54	29.57	35.26
42	65	21.59	44.92
22	41	29.78	25.57
14	63	33.59	54.87
16	56	45.93	22.83
23	49	21.61	38.97
13	45	27.56	29.56
16	53	37.34	31.9
32	53	18.21	42.37
22	50	36.16	29.87
30	53	38.28	34.84
14	70	23.33	38.72
8	44	40.13	29.42
42	69	34.59	51.97
13	48	19.4	46.01
13	61	23.92	48.29
15	47	56.86	29.4
